[2025-11-19 13:44:16] [INFO] Product created | {"product_id":"6","name":"Local Test Hoodie"}
[2025-11-19 14:52:16] [INFO] Processing line item | {"line_item_id":888999000,"design_id_found":"YOUR_ACTUAL_DESIGN_ID_HERE","properties":[{"name":"design_id","value":"YOUR_ACTUAL_DESIGN_ID_HERE"}]}
[2025-11-19 14:52:16] [ERROR] Design not found | {"design_id":"YOUR_ACTUAL_DESIGN_ID_HERE"}
[2025-11-19 14:52:16] [INFO] Order created successfully | {"shopify_order_id":"555666777","db_order_id":"4"}
[2025-11-19 14:53:17] [INFO] Starting order creation | {"shopify_order_id":777888999,"order_number":1004,"line_items_count":1}
[2025-11-19 14:53:17] [INFO] Order inserted successfully | {"db_order_id":"5"}
[2025-11-19 14:53:17] [INFO] Processing line item | {"line_item_id":333444555,"design_id_found":"2","properties":[{"name":"design_id","value":"2"}]}
[2025-11-19 14:53:17] [INFO] Design found | {"design":{"id":2,"product_id":1}}
[2025-11-19 14:53:17] [INFO] Order item inserted | {"order_item_id":"1"}
[2025-11-19 14:53:17] [INFO] Print job created | {"print_job_id":"2"}
[2025-11-19 14:53:17] [INFO] Order created successfully | {"shopify_order_id":"777888999","db_order_id":"5"}
[2025-11-19 14:54:34] [INFO] Order updated successfully | {"order_id":"777888999"}
[2025-11-19 14:55:45] [INFO] Order updated successfully | {"order_id":"777888999"}
[2025-11-19 14:55:48] [INFO] Order fulfilled successfully | {"order_id":"777888999"}
[2025-11-19 14:56:34] [INFO] Starting order creation | {"shopify_order_id":1234567890,"order_number":1001,"line_items_count":1}
[2025-11-19 14:56:34] [ERROR] Order creation failed | {"error":"SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '1234567890' for key 'shopify_order_id'","trace":"#0 C:\\xampp\\htdocs\\Shopify\\backend\\utils\\order_handlers.php(60): PDOStatement->execute()\n#1 C:\\xampp\\htdocs\\Shopify\\backend\\api\\dev-mock-order.php(51): handleOrderCreate(Object(PDO), Array)\n#2 {main}"}
[2025-11-19 14:56:34] [ERROR] Dev mock order error: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '1234567890' for key 'shopify_order_id' | {"topic":"orders\/create"}
[2025-11-19 14:57:16] [INFO] Starting order creation | {"shopify_order_id":1234567890,"order_number":1001,"line_items_count":1}
[2025-11-19 14:57:16] [ERROR] Order creation failed | {"error":"SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '1234567890' for key 'shopify_order_id'","trace":"#0 C:\\xampp\\htdocs\\Shopify\\backend\\utils\\order_handlers.php(60): PDOStatement->execute()\n#1 C:\\xampp\\htdocs\\Shopify\\backend\\api\\dev-mock-order.php(51): handleOrderCreate(Object(PDO), Array)\n#2 {main}"}
[2025-11-19 14:57:16] [ERROR] Dev mock order error: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '1234567890' for key 'shopify_order_id' | {"topic":"orders\/create"}
[2025-11-19 14:58:16] [INFO] Starting order creation | {"shopify_order_id":999888777,"order_number":1001,"line_items_count":1}
[2025-11-19 14:58:16] [ERROR] Order creation failed | {"error":"SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '999888777' for key 'shopify_order_id'","trace":"#0 C:\\xampp\\htdocs\\Shopify\\backend\\utils\\order_handlers.php(60): PDOStatement->execute()\n#1 C:\\xampp\\htdocs\\Shopify\\backend\\api\\dev-mock-order.php(51): handleOrderCreate(Object(PDO), Array)\n#2 {main}"}
[2025-11-19 14:58:16] [ERROR] Dev mock order error: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '999888777' for key 'shopify_order_id' | {"topic":"orders\/create"}
[2025-11-19 14:58:27] [INFO] Starting order creation | {"shopify_order_id":999888777666,"order_number":1001,"line_items_count":1}
[2025-11-19 14:58:27] [INFO] Order inserted successfully | {"db_order_id":"9"}
[2025-11-19 14:58:27] [INFO] Processing line item | {"line_item_id":987654321,"design_id_found":"2","properties":[{"name":"design_id","value":"2"}]}
[2025-11-19 14:58:27] [INFO] Design found | {"design":{"id":2,"product_id":1}}
[2025-11-19 14:58:27] [INFO] Order item inserted | {"order_item_id":"2"}
[2025-11-19 14:58:27] [INFO] Print job created | {"print_job_id":"3"}
[2025-11-19 14:58:27] [INFO] Order created successfully | {"shopify_order_id":"999888777666","db_order_id":"9"}
[2025-11-19 15:00:59] [INFO] Starting order creation | {"shopify_order_id":1000000001,"order_number":1001,"line_items_count":1}
[2025-11-19 15:00:59] [INFO] Order inserted successfully | {"db_order_id":"1"}
[2025-11-19 15:00:59] [INFO] Processing line item | {"line_item_id":2000000001,"design_id_found":"2","properties":[{"name":"design_id","value":"2"}]}
[2025-11-19 15:00:59] [INFO] Design found | {"design":{"id":2,"product_id":1}}
[2025-11-19 15:00:59] [INFO] Order item inserted | {"order_item_id":"1"}
[2025-11-19 15:00:59] [INFO] Print job created | {"print_job_id":"1"}
[2025-11-19 15:00:59] [INFO] Order created successfully | {"shopify_order_id":"1000000001","db_order_id":"1"}
[2025-11-19 15:01:52] [INFO] Order updated successfully | {"order_id":"1000000001"}
[2025-11-19 15:02:23] [INFO] Order fulfilled successfully | {"order_id":"1000000001"}
[2025-11-19 15:02:46] [INFO] Order updated successfully | {"order_id":"1000000001"}
[2025-11-19 15:03:13] [INFO] Order fulfilled successfully | {"order_id":"1000000001"}
[2025-11-19 15:20:25] [INFO] Webhook received | {"topic":"","shop":"","size":0}
[2025-11-19 15:20:25] [ERROR] Webhook verification failed | {"topic":"","shop":""}
[2025-11-19 15:23:06] [INFO] Print job updated | {"job_id":1,"status":"printing"}
[2025-11-19 15:24:14] [INFO] Print job updated | {"job_id":1,"status":"printing"}
[2025-11-19 15:24:22] [INFO] Print job updated | {"job_id":1,"status":"printing"}
[2025-11-19 15:24:43] [INFO] Print job updated | {"job_id":1,"status":"printed"}
[2025-11-19 15:25:53] [INFO] Print job updated | {"job_id":1,"status":"shipped"}
[2025-11-19 15:26:54] [INFO] Print job updated | {"job_id":1,"status":"preparing"}
[2025-11-19 15:30:48] [INFO] Starting order creation | {"shopify_order_id":1000000002,"order_number":1002,"line_items_count":1}
[2025-11-19 15:30:48] [INFO] Order inserted successfully | {"db_order_id":"2"}
[2025-11-19 15:30:48] [INFO] Processing line item | {"line_item_id":2000000002,"design_id_found":"2","properties":[{"name":"design_id","value":"2"}]}
[2025-11-19 15:30:48] [INFO] Design found | {"design":{"id":2,"product_id":1}}
[2025-11-19 15:30:48] [INFO] Order item inserted | {"order_item_id":"2"}
[2025-11-19 15:30:48] [INFO] Print job created | {"print_job_id":"2"}
[2025-11-19 15:30:48] [INFO] Order created successfully | {"shopify_order_id":"1000000002","db_order_id":"2"}
[2025-11-19 15:33:57] [INFO] Print job updated | {"job_id":2,"status":"preparing"}
[2025-11-19 15:34:53] [INFO] Print job updated | {"job_id":2,"status":"preparing"}
[2025-11-19 15:35:12] [INFO] Print job updated | {"job_id":2,"status":"printing"}
[2025-11-19 15:35:30] [INFO] Print job updated | {"job_id":2,"status":"printed"}
[2025-11-19 15:35:45] [INFO] Print job updated | {"job_id":2,"status":"shipped"}
[2025-11-19 15:36:03] [INFO] Print job updated | {"job_id":2,"status":"shipped"}
[2025-11-19 15:37:31] [INFO] Print job updated | {"job_id":2,"status":"printing"}
